ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,M,TEA,12,10.0,8.0,4.0,,0.8333333333333334,0.6666666666666666,0.3333333333333333,,PREGRADO
2007,M,TEC,59,56.0,54.0,34.0,11.0,0.9491525423728814,0.9152542372881356,0.576271186440678,0.1864406779661017,PREGRADO
2007,M,TMI,32,24.0,22.0,19.0,7.0,0.75,0.6875,0.59375,0.21875,PREGRADO
2007,M,TQF,19,13.0,10.0,6.0,4.0,0.6842105263157895,0.5263157894736842,0.3157894736842105,0.21052631578947367,PREGRADO
2007,M,TRD,63,39.0,2.0,1.0,3.0,0.6190476190476191,0.031746031746031744,0.015873015873015872,0.047619047619047616,PREGRADO
2007,M,TUI,41,34.0,14.0,,4.0,0.8292682926829268,0.34146341463414637,,0.0975609756097561,PREGRADO
2008,F,ADMPUB,64,57.0,52.0,42.0,41.0,0.890625,0.8125,0.65625,0.640625,PREGRADO
2008,F,ARQ,38,33.0,31.0,31.0,31.0,0.868421052631579,0.8157894736842105,0.8157894736842105,0.8157894736842105,PREGRADO
2008,F,BACHI,105,79.0,37.0,11.0,1.0,0.7523809523809524,0.3523809523809524,0.10476190476190476,0.009523809523809525,PREGRADO
2008,F,CCIV,10,7.0,8.0,6.0,4.0,0.7,0.8,0.6,0.4,PREGRADO
2008,F,CONTA,95,83.0,76.0,72.0,69.0,0.8736842105263158,0.8,0.7578947368421053,0.7263157894736842,PREGRADO
2008,F,DIPAN,6,,,,,,,,,DIPLOMADO
2008,F,DIPAP,9,,,,,,,,,DIPLOMADO
2008,F,DIPAPR,22,,,,,,,,,DIPLOMADO
2008,F,DIPAR,13,,,,,,,,,DIPLOMADO
2008,F,DIPCD,7,,,,,,,,,DIPLOMADO
2008,F,DIPCSA,2,,,,,,,,,DIPLOMADO
2008,F,DIPDHG,5,,,,,,,,,DIPLOMADO
2008,F,DIPEG,10,,,,,,,,,DIPLOMADO
2008,F,DIPEPC,10,,,,,,,,,DIPLOMADO
2008,F,DIPET,19,,,,,,,,,DIPLOMADO
2008,F,DIPGA,1,,,,,,,,,DIPLOMADO
2008,F,DIPGCLC,27,,,,,,,,,DIPLOMADO
2008,F,DIPGCSP,4,,,,,,,,,DIPLOMADO
2008,F,DIPGES,24,,,,,,,,,DIPLOMADO
2008,F,DIPGLGC,10,,,,,,,,,DIPLOMADO
2008,F,DIPGLPD,1,,,,,,,,,DIPLOMADO
2008,F,DIPGS,7,,,,,,,,,DIPLOMADO
2008,F,DIPIDT,10,,,,,,,,,DIPLOMADO
2008,F,DIPIEDF,3,,,,,,,,,DIPLOMADO
2008,F,DIPIG,3,,,,,,,,,DIPLOMADO
2008,F,DIPMG,8,,,,,,,,,DIPLOMADO
2008,F,DIPMTCA,27,,6.0,,,,0.2222222222222222,,,DIPLOMADO
2008,F,DIPNICI,30,,,,,,,,,DIPLOMADO
2008,F,DIPPED,13,,,,,,,,,DIPLOMADO
2008,F,DIPPINF,4,,,,,,,,,DIPLOMADO
2008,F,DIPPMM,5,,,,,,,,,DIPLOMADO
2008,F,DIPSD,8,,,,,,,,,DIPLOMADO
2008,F,DOCBIO,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2008,F,DOCCSALIM,3,3.0,3.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,DOCTORADO
2008,F,DOCCSFIS,1,,,,,,,,,DOCTORADO
2008,F,DOCCSING,6,6.0,6.0,5.0,4.0,1.0,1.0,0.8333333333333334,0.6666666666666666,DOCTORADO
2008,F,DOCCSMAT,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2008,F,DOCESTAM,12,10.0,10.0,8.0,7.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5833333333333334,DOCTORADO
2008,F,DOCMICROBIO,4,4.0,3.0,3.0,3.0,1.0,0.75,0.75,0.75,DOCTORADO
2008,F,DOCQUIM,7,6.0,5.0,5.0,5.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,DOCTORADO
